Serial No.,Research Paper Title,Journal / Conference Name,Year,Problem / Objective,Methodology Adopted,Metrics Used,Limitations,Future Enhancements
1,"HCiT: Deepfake Video Detection Using a Hybrid CNN + Vision Transformer Model","IEEE VCIP (Int. Conf. Visual Communication & Image Processing), Munich",2021,"Combine local texture features (CNN) with global attention features (ViT) for improved deepfake video detection","Hybrid CNN + Vision Transformer (HCiT) — CNN extracts local spatial features; ViT captures global attention patterns","Accuracy, AUC, cross-dataset generalization rate","Higher compute cost than pure CNN; limited to face-swap manipulations tested on FaceForensics++ and DFDC preview only","Extend to other manipulation types (reenactment, audio-visual); reduce Transformer compute overhead"
2,"A Deepfake Detection Method Based on Transformer Spatiotemporal Modeling (STFormer)*","IEEE Conference Publication (verify venue on IEEE Xplore)",2025,"Model both spatial artifacts and temporal inconsistencies in deepfake videos using a pure Transformer architecture","4-stage pyramid Transformer with Spatiotemporal Embedding Layer + GRU for inter-frame dynamics","Accuracy, AUC on FaceForensics++ and Celeb-DF","Complex multi-stage pipeline; high GPU memory; not tested on heavy compression or real-world social media re-encoding","Lightweight distillation; deployment on mobile/edge devices"
3,"Leveraging Swin Transformer for Robust Deepfake Detection*","IEEE Conference Publication (verify venue on IEEE Xplore)",2025,"Improve resilience to unseen/newer manipulation techniques using shifted-window self-attention","Swin Transformer (shifted-window self-attention) fine-tuned for face forensics","Accuracy, Precision, Recall on LCC-FASD + CASIA combined","Evaluated on combined dataset only; no standalone cross-dataset generalization reported; high compute","Combine with provenance/blockchain; test on DFDC and Celeb-DF"
4,"GenConViT: Deepfake Video Detection Using Generative Convolutional Vision Transformer","arXiv (Wodajo, Atnafu & Akhtar)",2023,"Combine visual artifact detection with latent-distribution modeling for generalized deepfake detection","ConvNeXt + Swin Transformer + Autoencoder/VAE latent-space modeling","95.8% avg accuracy, 99.3% AUC across DFDC, FF++, DeepfakeTIMIT, Celeb-DF v2","Computationally expensive dual-branch architecture; no real-time deployment demonstrated","Real-time optimization; integration with provenance systems"
5,"Video Deepfake Detection Using EfficientNet and LSTM*","IRJIET (Int. Res. J. Innovation in Eng. & Tech.)",2025,"Combine spatial (per-frame) and temporal (inter-frame) analysis for video deepfake detection","EfficientNetB0 spatial encoder + LSTM temporal sequence model","Accuracy, frame-level precision on face-manipulation video benchmark","Single benchmark; no robustness testing under compression/noise; no explainability","Add Grad-CAM overlays; test under social media degradations"
6,"An Enhanced Deep Learning Framework for DeepFake Detection Using EfficientNet-B3","Discover Computing (Springer)",2025,"Compare deep transfer-learned CNNs against classical ML methods for deepfake image detection","EfficientNet-B3 vs. SVM / Random Forest / ensemble ML classifiers","Accuracy, Precision, Recall, F1, AUC","Only image-level classification; no video support; no interpretability/explainability module","Add explainability (XAI); extend to video; cross-dataset generalization testing"
7,"Explainable AI for Deepfake Detection: A Grad-CAM Approach to Video Forensics*","Conference Publication (verify full citation)",2025,"Add interpretability to CNN-based video deepfake detection using Grad-CAM heatmaps","EfficientNetB0 + LSTM + Grad-CAM overlay on per-frame predictions","Accuracy, qualitative Grad-CAM evaluation","Grad-CAM is post-hoc only; no tamper-evident record of the verdict or heatmap; no blockchain","Integrate with blockchain anchoring; quantitative XAI evaluation metrics"
8,"Explainable Deepfake Detection: Integrating Grad-CAM with CNN-RNN Architecture","TechRxiv (Kumar et al.)",2025,"Provide statistically validated explainability alongside deepfake detection","DenseNet-121 + Bidirectional GRU + Grad-CAM","88.33% accuracy, 0.937 ROC-AUC, p < 1×10⁻²⁴ (statistical validation)","Moderate accuracy (88.33%); no blockchain or tamper-proof anchoring of the verdict","Improve accuracy with better backbone; add immutable verdict storage"
9,"Towards Quantitative Evaluation of Explainable AI Methods for Deepfake Detection","arXiv",2024,"Develop quantitative metrics to evaluate whether XAI methods (Grad-CAM, LIME) align with actual forgery cues","Comparative evaluation framework across Grad-CAM, LIME, and related XAI methods","Proposed quantitative alignment metrics (faithfulness, localization)","Shows existing XAI overlays often do NOT align with human-perceived forgery cues; no system proposed","Design XAI methods specifically tuned for forensic cues rather than generic saliency"
10,"Securing Digital Integrity: Comprehensive Framework for Deepfake Detection and Blockchain Validation","IC4S 2023 (Springer LNNS), Jain et al.",2023,"Combine CNN deepfake detection with Ethereum smart contracts and IPFS for tamper-proof validation","EfficientNet-B1 CNN + Ethereum smart contracts + IPFS content storage","98.53% detection accuracy","No Grad-CAM or visual evidence trail bundled with the on-chain proof; opaque label written on-chain","Add explainability (Grad-CAM); PDF certificate generation; robustness benchmarking"
